total number of customers ,Revenue ,Total _duration ,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,stays_in_week_nights,arrival_date_day_of_month,stays_in_weekend_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
1,39,1,Resort Hotel,0,27,2016,May,22,1,24,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,E,0,No Deposit,87,154,0,Transient,39,0,0,Check-Out,2016-05-25
1,70,1,Resort Hotel,0,7,2016,June,23,1,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,3,A,A,0,No Deposit,87,154,0,Transient,70,1,0,Check-Out,2016-06-02
1,58,1,Resort Hotel,0,35,2016,June,27,1,29,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,4,A,A,0,No Deposit,87,154,0,Transient,58,0,0,Check-Out,2016-06-30
1,66,1,Resort Hotel,0,30,2016,July,28,1,6,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,5,A,F,0,No Deposit,87,154,0,Transient,66,0,0,Check-Out,2016-07-07
1,115,1,Resort Hotel,0,50,2016,July,31,1,28,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,6,A,A,0,No Deposit,87,154,0,Transient,115,0,0,Check-Out,2016-07-29
1,115,1,Resort Hotel,0,65,2016,August,33,1,10,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,7,A,B,0,No Deposit,87,154,0,Transient,115,0,0,Check-Out,2016-08-11
1,66,1,Resort Hotel,0,86,2016,August,36,1,31,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,8,A,C,0,No Deposit,87,154,0,Transient,66,0,0,Check-Out,2016-09-01
1,66,1,Resort Hotel,0,100,2016,September,38,1,14,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,9,A,D,1,No Deposit,87,154,0,Transient,66,0,0,Check-Out,2016-09-15
1,58,1,Resort Hotel,0,114,2016,September,40,1,28,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,10,A,A,0,No Deposit,87,154,0,Transient,58,0,0,Check-Out,2016-09-29
1,39,1,Resort Hotel,0,29,2016,October,43,1,19,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,11,A,A,0,No Deposit,87,154,0,Transient,39,0,0,Check-Out,2016-10-20
1,27,1,Resort Hotel,0,7,2016,November,45,1,2,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,12,A,A,1,No Deposit,87,154,0,Transient,27,0,0,Check-Out,2016-11-03
1,54,2,Resort Hotel,0,27,2016,November,48,2,22,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,13,A,D,1,No Deposit,87,154,0,Transient,27,0,0,Check-Out,2016-11-24
1,0,0,Resort Hotel,0,2,2016,December,50,0,7,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,14,A,D,0,No Deposit,87,154,0,Transient,0,0,0,Check-Out,2016-12-07
1,70,2,Resort Hotel,0,5,2017,March,9,2,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,15,A,E,0,No Deposit,87,154,0,Transient,35,0,0,Check-Out,2017-03-03
1,70,2,Resort Hotel,0,17,2017,March,11,1,13,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,16,A,A,0,No Deposit,87,154,0,Transient,35,0,0,Check-Out,2017-03-15
1,105,3,Resort Hotel,0,32,2017,March,13,3,28,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,17,A,A,1,No Deposit,87,154,0,Transient,35,0,0,Check-Out,2017-03-31
1,45,1,Resort Hotel,0,10,2017,April,16,1,20,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,18,A,A,0,No Deposit,87,154,0,Transient,45,0,0,Check-Out,2017-04-21
2,118,2,Resort Hotel,0,0,2016,April,16,2,12,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,87,331,0,Transient,59,0,0,Check-Out,2016-04-14
2,67.5,1,Resort Hotel,0,1,2016,April,16,1,14,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,87,331,0,Transient,67.5,0,0,Check-Out,2016-04-15
1,42,1,Resort Hotel,0,2,2016,April,16,1,13,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,I,0,No Deposit,87,144,0,Transient-Party,42,0,0,Check-Out,2016-04-14
1,0,3,Resort Hotel,0,83,2016,April,16,2,11,1,1,0,0,SC,PRT,Corporate,Corporate,0,0,0,A,I,2,No Deposit,87,370,0,Transient-Party,0,0,0,Check-Out,2016-04-14
1,45,1,Resort Hotel,0,2,2016,April,16,1,14,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,87,169,0,Transient,45,1,0,Check-Out,2016-04-15
1,125.5,2,Resort Hotel,0,0,2016,April,16,2,13,0,1,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,87,62,0,Group,62.75,0,0,Check-Out,2016-04-15
1,42,1,Resort Hotel,0,2,2016,April,16,1,14,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,87,12,0,Transient,42,0,0,Check-Out,2016-04-15
1,42,1,Resort Hotel,0,2,2016,April,16,1,14,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,87,12,0,Transient,42,0,0,Check-Out,2016-04-15
1,70,2,Resort Hotel,0,0,2017,February,8,1,20,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,87,12,0,Transient,35,0,0,Check-Out,2017-02-22
1,43,1,Resort Hotel,0,2,2017,February,6,1,9,0,1,0,0,BB,PRT,Direct,Direct,1,0,2,A,A,0,No Deposit,87,514,0,Transient,43,0,0,Check-Out,2017-02-10
1,42,1,Resort Hotel,0,2,2016,April,16,1,14,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,B,0,No Deposit,87,12,0,Transient,42,0,0,Check-Out,2016-04-15
1,42,1,Resort Hotel,0,1,2016,April,17,1,20,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,87,12,0,Transient,42,0,0,Check-Out,2016-04-21
1,30,1,Resort Hotel,0,2,2016,November,47,1,17,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,0,No Deposit,87,12,0,Transient,30,0,0,Check-Out,2016-11-18
2,30,1,Resort Hotel,0,1,2016,December,52,1,22,0,2,0,0,BB,PRT,Corporate,Corporate,1,0,3,A,A,2,No Deposit,87,12,0,Transient,30,0,0,Check-Out,2016-12-23
1,175,5,Resort Hotel,0,0,2017,February,8,4,20,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,4,A,A,2,No Deposit,87,12,0,Transient,35,0,0,Check-Out,2017-02-25
2,0,2,Resort Hotel,0,58,2016,April,16,2,15,0,2,0,0,BB,ESP,Complementary,Direct,0,0,0,A,C,1,No Deposit,87,367,0,Transient,0,0,1,Check-Out,2016-04-17
1,30,1,Resort Hotel,0,0,2016,December,52,1,22,0,1,0,0,BB,PRT,Direct,Direct,1,0,3,A,D,0,No Deposit,87,421,0,Transient,30,0,0,Check-Out,2016-12-23
1,35,1,Resort Hotel,0,1,2017,January,2,1,12,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,4,A,D,0,No Deposit,87,421,0,Transient,35,0,0,Check-Out,2017-01-13
1,50,1,Resort Hotel,0,32,2016,April,17,1,19,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,87,397,0,Transient-Party,50,0,0,Check-Out,2016-04-20
1,50,1,Resort Hotel,0,32,2016,April,17,1,19,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,87,397,0,Transient-Party,50,0,0,Check-Out,2016-04-20
1,50,1,Resort Hotel,0,32,2016,April,17,1,19,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,87,397,0,Transient-Party,50,0,0,Check-Out,2016-04-20
1,50,1,Resort Hotel,0,32,2016,April,17,1,19,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,87,397,0,Transient-Party,50,0,0,Check-Out,2016-04-20
2,59,1,Resort Hotel,0,32,2016,April,17,1,19,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,G,0,No Deposit,87,397,0,Transient-Party,59,0,1,Check-Out,2016-04-20
1,50,1,Resort Hotel,0,32,2016,April,17,1,19,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,87,397,0,Transient-Party,50,0,0,Check-Out,2016-04-20
1,50,1,Resort Hotel,0,32,2016,April,17,1,19,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,87,397,0,Transient-Party,50,0,0,Check-Out,2016-04-20
2,59,1,Resort Hotel,0,32,2016,April,17,1,19,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,G,0,No Deposit,87,397,0,Transient-Party,59,0,1,Check-Out,2016-04-20
2,59,1,Resort Hotel,0,32,2016,April,17,1,19,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,G,0,No Deposit,87,397,0,Transient-Party,59,0,1,Check-Out,2016-04-20
1,50,1,Resort Hotel,0,32,2016,April,17,1,19,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,87,397,0,Transient-Party,50,0,0,Check-Out,2016-04-20
2,59,1,Resort Hotel,0,32,2016,April,17,1,19,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,87,397,0,Transient-Party,59,0,1,Check-Out,2016-04-20
2,59,1,Resort Hotel,0,32,2016,April,17,1,19,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,G,0,No Deposit,87,397,0,Transient-Party,59,0,1,Check-Out,2016-04-20
2,59,1,Resort Hotel,0,32,2016,April,17,1,19,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,87,397,0,Transient,59,0,1,Check-Out,2016-04-20
3,174,3,Resort Hotel,0,35,2016,April,17,2,22,1,2,1,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,2,No Deposit,87,369,0,Transient,58,0,0,Check-Out,2016-04-25
3,244.5,3,Resort Hotel,0,35,2016,April,17,2,22,1,2,1,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,2,No Deposit,87,369,0,Transient,81.5,1,0,Check-Out,2016-04-25
3,244.5,3,Resort Hotel,0,35,2016,April,17,2,22,1,2,1,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,5,No Deposit,87,369,0,Transient,81.5,1,0,Check-Out,2016-04-25
2,595,7,Resort Hotel,0,13,2016,April,18,5,25,2,2,0,0,BB,NLD,Corporate,Corporate,0,0,0,D,D,0,No Deposit,87,110,0,Transient,85,1,0,Check-Out,2016-05-02
1,0,0,Resort Hotel,0,6,2016,April,18,0,28,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,87,51,0,Transient,0,0,0,Check-Out,2016-04-28
1,0,0,Resort Hotel,0,6,2016,April,18,0,28,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,87,51,0,Transient,0,0,0,Check-Out,2016-04-28
1,108,2,Resort Hotel,0,5,2016,May,23,1,30,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,87,409,0,Transient-Party,54,0,0,Check-Out,2016-06-01
1,100,2,Resort Hotel,0,0,2016,October,43,2,18,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,E,0,No Deposit,87,409,0,Transient,50,0,0,Check-Out,2016-10-20
1,39,1,Resort Hotel,0,5,2016,April,18,1,27,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,87,154,0,Transient,39,0,0,Check-Out,2016-04-28
1,39,1,Resort Hotel,0,9,2016,April,18,1,28,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,94,0,Transient-Party,39,0,0,Check-Out,2016-04-29
1,30,1,Resort Hotel,0,6,2016,November,47,0,14,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,87,94,0,Transient,30,1,0,Check-Out,2016-11-15
1,77,2,Resort Hotel,0,2,2017,January,4,2,25,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,D,0,No Deposit,87,94,0,Transient-Party,38.5,1,0,Check-Out,2017-01-27
1,153,3,Resort Hotel,0,5,2016,April,18,3,26,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,87,269,0,Transient,51,1,0,Check-Out,2016-04-29
1,102,2,Resort Hotel,0,5,2016,October,42,2,12,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,G,0,No Deposit,87,269,0,Transient,51,1,0,Check-Out,2016-10-14
1,156,3,Resort Hotel,0,3,2017,May,21,2,22,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,0,No Deposit,87,269,0,Transient,52,1,0,Check-Out,2017-05-25
3,65,1,Resort Hotel,0,6,2016,April,18,1,28,0,2,1,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,169,0,Transient,65,1,0,Check-Out,2016-04-29
1,81,1,Resort Hotel,0,17,2016,May,19,0,2,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,399,0,Transient-Party,81,0,0,Check-Out,2016-05-03
2,39.5,1,Resort Hotel,0,0,2016,May,19,0,2,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,87,302,0,Transient,39.5,0,1,Check-Out,2016-05-03
1,42,1,Resort Hotel,0,0,2016,May,19,1,3,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,87,135,0,Transient,42,0,0,Check-Out,2016-05-04
1,57,1,Resort Hotel,0,4,2016,June,26,1,21,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,87,135,0,Transient,57,1,0,Check-Out,2016-06-22
1,66,2,Resort Hotel,0,7,2016,November,48,1,21,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,D,0,No Deposit,87,135,0,Transient,33,1,0,Check-Out,2016-11-23
1,35,1,Resort Hotel,1,4,2017,February,6,1,7,0,1,0,0,BB,PRT,Corporate,Corporate,1,1,3,A,D,0,No Deposit,87,135,0,Transient,35,0,0,Canceled,2017-02-06
1,135,1,Resort Hotel,0,11,2017,July,28,1,11,0,1,0,0,BB,PRT,Corporate,Corporate,1,1,3,A,D,0,No Deposit,87,135,0,Transient,135,0,0,Check-Out,2017-07-12
1,39,1,Resort Hotel,0,5,2016,May,19,1,3,0,1,0,0,BB,PRI,Corporate,Corporate,0,0,0,A,D,0,No Deposit,87,154,0,Transient,39,0,0,Check-Out,2016-05-04
1,39,1,Resort Hotel,0,5,2016,May,21,1,18,0,1,0,0,BB,PRI,Corporate,Corporate,1,0,1,A,A,0,No Deposit,87,154,0,Transient,39,0,0,Check-Out,2016-05-19
1,116,2,Resort Hotel,0,7,2016,June,23,2,1,0,1,0,0,BB,PRI,Corporate,Corporate,1,0,2,A,A,0,No Deposit,87,154,0,Transient,58,0,0,Check-Out,2016-06-03
1,58,1,Resort Hotel,0,7,2016,June,26,1,21,0,1,0,0,BB,PRI,Corporate,Corporate,1,0,3,A,A,0,No Deposit,87,154,0,Transient,58,0,0,Check-Out,2016-06-22
2,168,2,Resort Hotel,0,33,2016,July,29,1,11,1,2,0,0,BB,PRI,Corporate,Corporate,1,0,4,A,A,1,No Deposit,87,154,0,Transient,84,0,0,Check-Out,2016-07-13
2,250,2,Resort Hotel,0,70,2016,August,34,2,17,0,2,0,0,BB,PRI,Corporate,Corporate,1,0,5,A,A,1,No Deposit,87,154,0,Transient,125,0,0,Check-Out,2016-08-19
1,116,2,Resort Hotel,0,7,2016,September,40,2,28,0,1,0,0,BB,PRI,Corporate,Corporate,1,0,6,A,A,0,No Deposit,87,154,0,Transient,58,0,0,Check-Out,2016-09-30
1,150,2,Resort Hotel,0,3,2017,June,24,1,12,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,7,A,A,0,No Deposit,87,154,0,Transient,75,0,0,Check-Out,2017-06-14
1,270,2,Resort Hotel,0,33,2017,July,28,2,12,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,8,A,A,0,No Deposit,87,154,0,Transient,135,0,0,Check-Out,2017-07-14
2,290,2,Resort Hotel,0,33,2017,August,34,2,23,0,2,0,0,BB,PRT,Corporate,Corporate,1,0,9,A,A,0,No Deposit,87,154,0,Transient,145,0,0,Check-Out,2017-08-25
2,78.18,1,Resort Hotel,0,12,2016,May,19,1,4,0,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,D,D,1,No Deposit,87,110,0,Transient,78.18,0,0,Check-Out,2016-05-05
2,90,1,Resort Hotel,0,7,2016,May,19,1,4,0,2,0,0,BB,GBR,Corporate,Corporate,0,0,0,D,D,0,No Deposit,87,110,0,Transient,90,0,0,Check-Out,2016-05-05
2,80,1,Resort Hotel,0,7,2016,May,19,1,4,0,2,0,0,BB,JPN,Corporate,Corporate,0,0,0,D,D,0,No Deposit,87,110,0,Transient,80,0,0,Check-Out,2016-05-05
2,68.74,1,Resort Hotel,0,12,2016,May,19,1,4,0,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,110,0,Transient,68.74,0,0,Check-Out,2016-05-05
2,63,1,Resort Hotel,0,12,2016,May,19,1,4,0,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,110,0,Transient,63,1,0,Check-Out,2016-05-05
1,210,5,Resort Hotel,0,3,2016,May,19,3,1,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,87,337,0,Transient,42,0,0,Check-Out,2016-05-06
2,59,1,Resort Hotel,0,140,2016,May,19,1,6,0,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,87,251,0,Transient,59,0,0,Check-Out,2016-05-07
2,100,2,Resort Hotel,0,30,2016,May,20,0,8,2,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,87,135,0,Transient,50,1,0,Check-Out,2016-05-10
1,84,2,Resort Hotel,0,18,2016,May,20,0,8,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,87,135,0,Transient-Party,42,0,0,Check-Out,2016-05-10
1,42,1,Resort Hotel,0,0,2016,May,20,0,9,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,87,51,0,Transient,42,1,0,Check-Out,2016-05-10
1,84,2,Resort Hotel,0,18,2016,May,20,0,8,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,87,135,0,Transient-Party,42,0,0,Check-Out,2016-05-10
1,42,1,Resort Hotel,0,21,2016,May,20,0,9,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,87,135,0,Transient,42,0,0,Check-Out,2016-05-10
1,42,1,Resort Hotel,0,21,2016,May,20,0,9,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,87,135,0,Transient,42,0,0,Check-Out,2016-05-10
2,120,2,Resort Hotel,0,18,2016,May,20,0,8,2,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,1,No Deposit,87,135,0,Transient-Party,60,0,0,Check-Out,2016-05-10
1,0,0,Resort Hotel,0,21,2016,May,20,0,10,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,380,0,Transient,0,0,0,Check-Out,2016-05-10
2,0,0,Resort Hotel,0,6,2016,May,20,0,11,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,I,0,No Deposit,87,110,0,Transient,0,0,0,Check-Out,2016-05-11
2,72,1,Resort Hotel,0,1,2016,May,20,1,11,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,87,331,0,Transient,72,0,0,Check-Out,2016-05-12
1,79,1,Resort Hotel,0,10,2016,June,27,1,30,0,1,0,0,BB,PRT,Direct,Direct,1,0,1,A,A,0,No Deposit,87,331,0,Transient,79,0,0,Check-Out,2016-07-01
1,70,2,Resort Hotel,0,6,2017,March,11,1,13,1,1,0,0,BB,PRT,Corporate,Direct,1,0,2,A,A,0,No Deposit,87,331,0,Transient,35,0,0,Check-Out,2017-03-15
1,126,3,Resort Hotel,0,0,2016,May,20,2,9,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,G,2,No Deposit,87,99,0,Transient,42,0,0,Check-Out,2016-05-12
2,70,1,Resort Hotel,0,7,2016,May,20,1,11,0,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,1,No Deposit,87,405,0,Transient-Party,70,1,1,Check-Out,2016-05-12
2,70,1,Resort Hotel,0,11,2016,May,21,0,15,1,2,0,0,BB,GBR,Direct,Direct,0,0,1,A,C,0,Refundable,87,405,0,Transient-Party,70,0,1,Check-Out,2016-05-16
2,70,1,Resort Hotel,0,7,2016,May,20,1,11,0,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,87,405,0,Transient-Party,70,0,0,Check-Out,2016-05-12
2,140,2,Resort Hotel,0,11,2016,May,21,0,15,2,2,0,0,BB,GBR,Direct,Direct,0,0,1,A,C,0,No Deposit,87,405,0,Transient-Party,70,0,0,Check-Out,2016-05-17
2,200,4,Resort Hotel,0,7,2016,October,41,4,5,0,2,0,0,BB,GBR,Groups,Corporate,1,0,3,A,A,1,No Deposit,87,405,0,Transient-Party,50,0,0,Check-Out,2016-10-09
2,168,4,Resort Hotel,0,70,2017,February,8,4,22,0,2,0,0,BB,GBR,Corporate,Direct,1,0,4,A,D,0,No Deposit,87,405,0,Transient-Party,42,0,0,Check-Out,2017-02-26
2,170,2,Resort Hotel,0,1,2017,April,17,2,27,0,2,0,0,BB,GBR,Corporate,Direct,1,0,5,A,A,0,No Deposit,87,405,0,Transient,85,0,1,Check-Out,2017-04-29
2,425,5,Resort Hotel,0,4,2016,May,20,4,9,1,2,0,0,BB,POL,Corporate,Corporate,0,0,0,E,E,0,No Deposit,87,110,0,Transient,85,0,0,Check-Out,2016-05-14
2,70,1,Resort Hotel,0,11,2016,May,21,0,15,1,2,0,0,BB,GBR,Direct,TA/TO,0,0,0,A,A,1,No Deposit,87,405,0,Group,70,0,0,Check-Out,2016-05-16
2,70,1,Resort Hotel,0,11,2016,May,21,0,15,1,2,0,0,BB,GBR,Direct,TA/TO,0,0,0,A,A,1,No Deposit,87,405,0,Group,70,0,0,Check-Out,2016-05-16
1,76,1,Resort Hotel,0,2,2016,May,21,0,15,1,1,0,0,BB,GBR,Direct,TA/TO,0,0,0,A,A,0,No Deposit,405,405,0,Group,76,1,0,Check-Out,2016-05-16
1,70,1,Resort Hotel,0,3,2016,May,21,0,15,1,1,0,0,BB,PRT,Direct,TA/TO,0,0,0,A,D,0,Refundable,405,405,0,Transient-Party,70,0,0,Check-Out,2016-05-16
2,152,2,Resort Hotel,0,11,2016,May,21,0,15,2,2,0,0,BB,POL,Direct,TA/TO,0,0,0,A,A,0,No Deposit,87,405,0,Transient,76,1,0,Check-Out,2016-05-17
2,70,1,Resort Hotel,0,0,2016,May,21,0,15,1,2,0,0,BB,GBR,Direct,TA/TO,1,0,0,A,D,0,Refundable,405,405,0,Group,70,0,0,Check-Out,2016-05-16
2,70,1,Resort Hotel,0,0,2016,May,21,0,15,1,2,0,0,BB,GBR,Direct,TA/TO,1,0,0,A,D,0,Refundable,405,405,0,Group,70,1,0,Check-Out,2016-05-16
4,0,5,Resort Hotel,0,5,2016,May,20,4,11,1,2,2,0,BB,GBR,Corporate,Corporate,0,0,0,C,C,1,No Deposit,87,405,0,Transient-Party,0,1,0,Check-Out,2016-05-16
2,126,2,Resort Hotel,0,1,2016,May,21,2,17,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,87,331,0,Transient-Party,63,0,0,Check-Out,2016-05-19
2,126,2,Resort Hotel,0,1,2016,May,21,2,17,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,87,331,0,Transient-Party,63,0,0,Check-Out,2016-05-19
1,39,1,Resort Hotel,0,0,2016,May,21,0,16,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,87,195,0,Transient,39,0,0,Check-Out,2016-05-17
1,62.5,1,Resort Hotel,0,0,2016,May,21,0,16,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,87,168,0,Transient,62.5,1,0,Check-Out,2016-05-17
2,0,0,Resort Hotel,0,6,2016,May,21,0,17,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,D,I,0,No Deposit,87,110,0,Transient,0,0,2,Check-Out,2016-05-17
2,50,1,Resort Hotel,0,3,2016,May,21,0,16,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,87,323,0,Transient,50,0,0,Check-Out,2016-05-17
2,342,4,Resort Hotel,0,4,2016,May,20,2,14,2,2,0,0,BB,GBR,Corporate,Corporate,0,0,0,D,D,1,No Deposit,87,110,0,Transient,85.5,0,2,Check-Out,2016-05-18
1,84,2,Resort Hotel,0,11,2016,May,21,1,16,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,87,178,0,Transient,42,0,0,Check-Out,2016-05-18
1,48,1,Resort Hotel,0,7,2017,April,14,1,5,0,1,0,0,BB,PRT,Corporate,Direct,1,0,1,A,E,0,No Deposit,87,178,0,Transient,48,0,0,Check-Out,2017-04-06
2,100,2,Resort Hotel,0,11,2016,May,21,1,16,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,87,178,0,Transient,50,0,1,Check-Out,2016-05-18
1,48,1,Resort Hotel,0,7,2017,April,14,1,5,0,1,0,0,BB,PRT,Corporate,Direct,1,0,1,A,E,0,No Deposit,87,178,0,Transient,48,0,1,Check-Out,2017-04-06
1,42,1,Resort Hotel,0,2,2016,May,21,1,18,0,1,0,0,BB,PRT,Corporate,Direct,0,0,0,A,A,0,No Deposit,87,92,0,Transient,42,0,0,Check-Out,2016-05-19
1,189,2,Resort Hotel,0,29,2016,May,21,2,17,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,1,No Deposit,87,104,0,Transient,94.5,0,0,Check-Out,2016-05-19
1,72,1,Resort Hotel,0,0,2016,May,21,1,19,0,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,87,16,0,Transient-Party,72,1,0,Check-Out,2016-05-20
1,42,1,Resort Hotel,0,1,2016,May,21,1,19,0,1,0,0,BB,PRT,Direct,Corporate,0,0,0,A,A,0,No Deposit,87,47,0,Transient,42,0,0,Check-Out,2016-05-20
1,84,2,Resort Hotel,0,1,2016,May,21,2,18,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,323,0,Transient,42,0,0,Check-Out,2016-05-20
1,30,1,Resort Hotel,0,0,2016,November,49,0,28,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,87,323,0,Transient,30,0,0,Check-Out,2016-11-29
1,45,1,Resort Hotel,0,5,2017,May,22,0,29,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,E,0,No Deposit,87,428,0,Transient,45,0,0,Check-Out,2017-05-30
